Employee_ID,Base_Wage,Pay_Rate_Per_Item,Productivity 
1,15,0.2,47
2,15,0.25,52
3,15,0.15,38
4,15,0.2,42
5,15,0.3,63
6,18,0.15,43
7,18,0.25,56
8,18,0.2,51
9,18,0.3,66
10,18,0.15,39
11,20,0.25,62
12,20,0.2,53
13,20,0.3,73
14,20,0.35,79
15,20,0.15,40
16,17,0.2,48
17,17,0.25,56
18,17,0.3,68
19,17,0.15,41
20,17,0.35,75
21,19,0.2,44
22,19,0.15,37
23,19,0.3,58
24,19,0.35,70
25,19,0.25,54
26,16,0.15,34
27,16,0.3,52
28,16,0.25,46
29,16,0.2,38
30,16,0.35,61
31,12,0.3,42
32,12,0.2,28
33,12,0.15,22
34,12,0.25,35
35,12,0.35,49
36,13,0.25,39
37,13,0.2,31
38,13,0.3,48
39,13,0.15,24
40,13,0.35,54
41,14,0.15,26
42,14,0.3,44
43,14,0.35,57
44,14,0.2,37
45,14,0.25,43
46,11,0.2,25
47,11,0.35,39
48,11,0.15,19
49,11,0.3,35
50,11,0.25,31
